,Year,Sex,Age,Total,Now married (except separated),Widowed,Divorced,Separated,Never married
0,2010,M,15+,11352610,0.7,0.0,0.0,0.1,99.2
1,2010,M,20+,31638358,29.4,0.1,3.5,1.4,65.6
2,2010,M,35+,20494598,61.7,0.4,11.7,2.9,23.3
3,2010,M,45+,22100095,64.4,1.0,16.0,2.8,15.8
4,2010,M,55+,17723303,70.0,2.5,16.2,2.2,9.2
5,2010,M,65+,17433645,70.9,13.1,9.9,1.3,4.7
6,2010,F,15+,10751573,1.5,0.0,0.1,0.1,98.3
7,2010,F,20+,30996555,36.7,0.2,5.0,2.5,55.6
8,2010,F,35+,20697730,62.5,1.0,14.2,4.3,18.0
9,2010,F,45+,22828938,62.3,3.1,18.9,3.7,12.1
10,2010,F,55+,19038661,61.2,8.4,19.8,2.6,8.0
11,2010,F,65+,22999880,41.6,40.4,12.3,1.0,4.7
12,2011,M,15+,11220968,0.7,0.0,0.1,0.1,99.2
13,2011,M,20+,32206358,28.6,0.1,3.3,1.4,66.6
14,2011,M,35+,20308235,61.2,0.4,11.6,2.9,23.8
15,2011,M,45+,21990093,63.6,1.1,16.1,2.9,16.4
16,2011,M,55+,18346272,69.1,2.5,16.4,2.2,9.9
17,2011,M,65+,17916246,71.0,12.9,10.2,1.4,4.6
18,2011,F,15+,10601506,1.4,0.0,0.1,0.1,98.5
19,2011,F,20+,31432625,35.4,0.3,4.9,2.5,57.0
20,2011,F,35+,20519475,61.7,1.0,14.4,4.3,18.6
21,2011,F,45+,22663294,61.9,3.0,18.8,3.8,12.4
22,2011,F,55+,19718929,60.9,8.3,20.0,2.6,8.3
23,2011,F,65+,23468780,42.0,39.6,12.6,1.1,4.7
24,2012,M,15+,11046052,0.7,0.0,0.0,0.1,99.2
25,2012,M,20+,32710723,27.8,0.1,3.4,1.3,67.4
26,2012,M,35+,20268103,61.0,0.4,11.6,2.8,24.2
27,2012,M,45+,21762309,63.5,1.0,16.3,2.9,16.3
28,2012,M,55+,18582087,68.3,2.5,16.6,2.2,10.3
29,2012,M,65+,18805263,70.7,12.4,10.8,1.3,4.9
30,2012,F,15+,10504417,1.3,0.0,0.1,0.1,98.5
31,2012,F,20+,31853305,34.7,0.2,4.8,2.3,58.0
32,2012,F,35+,20429983,61.7,1.0,14.3,4.3,18.7
33,2012,F,45+,22442643,61.6,3.0,19.1,3.9,12.4
34,2012,F,55+,20005050,60.5,8.1,20.1,2.7,8.6
35,2012,F,65+,24335214,42.4,38.2,13.3,1.1,4.9
36,2013,M,15+,10959311,0.8,0.0,0.1,0.1,99.0
37,2013,M,20+,33160804,27.2,0.1,3.1,1.2,68.4
38,2013,M,35+,20214767,60.7,0.4,11.3,2.7,24.9
39,2013,M,45+,21520450,63.5,1.1,16.1,2.8,16.6
40,2013,M,55+,18950470,67.8,2.5,16.5,2.4,10.8
41,2013,M,65+,19574217,70.5,12.2,10.8,1.3,5.1
42,2013,F,15+,10427332,1.4,0.0,0.1,0.1,98.4
43,2013,F,20+,32185659,34.0,0.2,4.6,2.2,58.9
44,2013,F,35+,20393468,61.3,1.0,14.1,4.2,19.4
45,2013,F,45+,22154533,61.6,2.9,18.8,3.8,13.0
46,2013,F,55+,20386382,60.5,7.9,19.8,2.7,9.0
47,2013,F,65+,25089773,42.9,37.1,13.8,1.2,5.0
48,2014,M,15+,10940814,0.8,0.0,0.0,0.1,99.0
